code,title,full
EBS116ED,GHANAIAN LANGUAGE AND CULTURE WRITING TECHNIQUES (EWE),EBS116ED - GHANAIAN LANGUAGE AND CULTURE WRITING TECHNIQUES (EWE)
EBS114D,GENERAL BIOLOGY THEORY I,EBS114D - GENERAL BIOLOGY THEORY I
EBS112D,FUNDAMENTALS IN HOME ECONOMICS,EBS112D - FUNDAMENTALS IN HOME ECONOMICS
EBS109D,FUNDAMENTALS OF IT EDUCATION,EBS109D - FUNDAMENTALS OF IT EDUCATION
EBS108D,LANGUAGE AND LINGUISTICS,EBS108D - LANGUAGE AND LINGUISTICS
EBS106D,CHILD DEVELOPMENT AND LEARNING,EBS106D - CHILD DEVELOPMENT AND LEARNING
EBS105D,CHILD AND ADOLESCENT DEVELOPMENT AND LEARNING,EBS105D - CHILD AND ADOLESCENT DEVELOPMENT AND LEARNING
EBS103D,GENERAL BIOLOGY,EBS103D - GENERAL BIOLOGY
EBS102D,COLLEGE ALGEBRA,EBS102D - COLLEGE ALGEBRA
EBS101D,ELEMENTARY ALGEBRA,EBS101D - ELEMENTARY ALGEBRA
EAS106D,THE CORE OF HISTORICAL KNOWLEDGE,EAS106D - THE CORE OF HISTORICAL KNOWLEDGE
EAS103D,INTRODUCTION TO SECOND LANGUAGE LEARNING & TEACHING,EAS103D - INTRODUCTION TO SECOND LANGUAGE LEARNING & TEACHING
EAS102D,MORALITY AND SOCIAL VALUES,EAS102D - MORALITY AND SOCIAL VALUES
BPS121D,BASIC STATISTICS,BPS121D - BASIC STATISTICS
BPS113D,PSYCHOLOGY OF HUMAN GROWTH AND DEVELOPMENT,BPS113D - PSYCHOLOGY OF HUMAN GROWTH AND DEVELOPMENT
BPS111D,INTRODUCTION TO GENERAL PSYCHOLOGY,BPS111D - INTRODUCTION TO GENERAL PSYCHOLOGY
APS101D,AFRICAN STUDIES,APS101D - AFRICAN STUDIES
